DATE & TIME,CO2 INTENSITY (gCO2/kWh),CO2 FORECAST (gCO2/kWh),REGION
21 July 2026 12:00,,166,Ireland
21 July 2026 12:30,,165,Ireland
21 July 2026 13:00,,164,Ireland
21 July 2026 13:30,,164,Ireland
21 July 2026 14:00,,162,Ireland
21 July 2026 14:30,,178,Ireland
21 July 2026 15:00,,167,Ireland
21 July 2026 15:30,,173,Ireland
21 July 2026 16:00,,176,Ireland
21 July 2026 16:30,,178,Ireland
21 July 2026 17:00,,176,Ireland
21 July 2026 17:30,,172,Ireland
21 July 2026 18:00,,165,Ireland
21 July 2026 18:30,,164,Ireland
21 July 2026 19:00,,163,Ireland
21 July 2026 19:30,,164,Ireland
21 July 2026 20:00,,166,Ireland
21 July 2026 20:30,,169,Ireland
21 July 2026 21:00,,185,Ireland
21 July 2026 21:30,,186,Ireland
21 July 2026 22:00,,194,Ireland
21 July 2026 22:30,,192,Ireland
21 July 2026 23:00,,,Ireland
21 July 2026 23:30,,,Ireland
